"Exception %s occurred","Fout %s is opgetreden"
"Combination not found.","Postcode & huisnummer combinatie niet gevonden."
"Something went wrong. Please try again.","Er is iets fout gegaan. Probeer het alstublieft opnieuw."
"Postcode.eu API not enabled.","Postcode.eu API niet ingeschakeld."
"Postcode.eu API not configured.","Postcode.eu API niet geconfigureerd."
"Configure your `API key` and `API secret`.","Configureer uw `API key` en` API secret`."
"Cannot connect to Postcode.eu API: Server is missing support for CURL.","Kan geen verbinding maken met Postcode.eu API: Server mist ondersteuning voor CURL."
"Cannot connect to Postcode.eu API: Server is missing SSL (https) support for CURL.","Kan geen verbinding maken met Postcode.eu API: Server mist SSL (https) ondersteuning voor CURL."
"Validate & refresh data","Gegevens valideren en vernieuwen"
"Key or secret are invalid","Key of secret zijn ongeldig"
"Your account is active with name: ","Uw account is actief met de naam: "
"Key is valid but has no access","Key is geldig maar heeft geen toegang"
"Flekto Postcode.eu update countries start","Flekto Postcode.eu update landen starten"
"Flekto Postcode.eu update countries FAILED: ","Flekto Postcode.eu update landen MISLUKT: "
"Flekto Postcode.eu update countries executed: ","Flekto Postcode.eu update landen uitgevoerd: "
"Postcode.eu API Autocomplete","Postcode.eu API Autocomplete"
"Configuration","Configuratie"
"Enabled","Ingeschakeld"
"Dutch address fields behavior","Nederlands adres zoekmethode"
"Address fields behavior in autocomplete","Adresvelden gedrag bij automatisch aanvullen"
"Api key","Api key"
"Api secret","Api secret"
"Account is valid","Account is geldig"
"Supported Countries","Ondersteunde landen"
"Account Name","Accountnaam"
"Advanced Configuration","Geavanceerde configuratie"
"Debug","Debuggen"
"Change address fields position","Verander adres velden positie"
"Only zip code and house number (default)","Alleen postcode en huisnummer (standaard)"
"Free address input","Adres handmatig invoeren"
"Show fields","Velden weergeven"
"Disable fields before autocomplete finished","Schakel velden uit voordat het automatisch aanvullen is voltooid"
"Hide fields before autocomplete finished","Verberg velden voordat het automatisch aanvullen is voltooid"
"Hide fields and show a formatted address instead (default)","Verberg velden en toon een opgemaakt adres in plaats van velden (standaard)"
"Your Postcode.eu API licence is invalid.","Uw Postcode.eu API-licentie is ongeldig."
"Check your API credentials.","Controleer uw API credentials."
"Start typing your address or zip/postal code","Begin met het typen van uw adres of postcode"
"Which house number do you mean?","Welk huisnummer bedoelt u?"
"Zip/Postal Code","Postcode"
"House number and addition","Huisnummer en toevoeging"
"- Select house number -","- Selecteer huisnummer -"
"Address not found.","Adres niet gevonden."
"Please enter a valid zip/postal code.","Vul alstublieft een geldige postcode in."
"Please enter a valid house number.","Vul alstublieft een geldig huisnummer in."
"Please enter an address and select it.","Vul alstublieft een adres in en selecteer het."
"An error has occurred while retrieving address data. Please contact us if the problem persists.","Er is een fout opgetreden bij het ophalen van adres gegevens. Neem contact met ons op als het probleem blijft optreden."
"Please select a house number.","Selecteer alstublieft een huisnummer."
"Enter an address","Vul een adres in"
"PO box shipping","Postbus verzending"
"Allow shipping to PO boxes.","Verzenden naar postbussen toestaan."
"Sorry, we cannot ship to a PO Box address.","Sorry, we versturen niet naar een postbus adres."
"Split street address values","Straatadreswaarden splitsen"
"Distribute street address values to available street fields.","Verdeel de straatadreswaarden over de beschikbare straatvelden."
